Employee_ID,FName,Minit,LName,Email,Workstation_address
1,John,A,Doe,john.doe@example.com,"123 Main St"
2,Jane,B,Smith,jane.smith@example.com,"456 Maple Ave"
3,Alice,C,Johnson,alice.j@example.com,"789 Oak Dr"
4,Bob,D,Brown,bob.brown@example.com,"101 Birch Rd"
5,Carol,E,Davis,carol.d@example.com,"202 Cedar Ln"
6,Dan,F,Miller,dan.miller@example.com,"303 Pine St"
7,Eve,G,Wilson,eve.wilson@example.com,"404 Spruce Ct"
8,Frank,H,Moore,frank.moore@example.com,"505 Elm St"
9,Grace,I,Taylor,grace.taylor@example.com,"606 Walnut Ave"
10,Hank,J,Anderson,hank.anderson@example.com,"707 Poplar Blvd"
11,Ivy,K,Thomas,ivy.thomas@example.com,"808 Aspen Dr"
12,Jack,L,Jackson,jack.jackson@example.com,"909 Willow Ln"
13,Karen,M,White,karen.white@example.com,"111 Chestnut Pl"
14,Leo,N,Harris,leo.harris@example.com,"222 Fir St"
15,Mona,O,Martin,mona.martin@example.com,"333 Cypress Ave"
16,Nate,P,Clark,nate.clark@example.com,"444 Redwood Blvd"
17,Olive,Q,Lewis,olive.lewis@example.com,"555 Ash Dr"
18,Paul,R,Lee,paul.lee@example.com,"666 Beech St"
19,Quinn,S,Walker,quinn.walker@example.com,"777 Magnolia Ave"
20,Rose,T,Hall,rose.hall@example.com,"888 Hemlock Ct"
